date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:21	64239/64239	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/team/team2.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/team/team2.jpg	(from http://httpcoder.com/demo/html/foodking/view/about.html)
10:29:31	57315/57315	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/team/team3.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/team/team3.jpg	(from http://httpcoder.com/demo/html/foodking/view/about.html)
10:29:39	47889/47889	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/team/team6.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/team/team6.jpg	(from http://httpcoder.com/demo/html/foodking/view/about.html)
10:29:43	266868/266868	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/slider4.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/slider4.jpg	(from http://httpcoder.com/demo/html/foodking/view/home-slider.html)
10:29:44	313607/313607	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/slider2.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/slider2.jpg	(from http://httpcoder.com/demo/html/foodking/view/home-slider.html)
10:29:46	339179/339179	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/slider1.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/slider1.jpg	(from http://httpcoder.com/demo/html/foodking/view/home-slider.html)
10:29:53	31376/31376	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/image-alignment.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/image-alignment.jpg	(from http://httpcoder.com/demo/html/foodking/view/news-single.html)
10:30:02	147944/147944	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/news/news1.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/news/news1.jpg	(from http://httpcoder.com/demo/html/foodking/view/news-list.html)
10:30:06	158596/158596	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/news/news3.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/news/news3.jpg	(from http://httpcoder.com/demo/html/foodking/view/news-list.html)
10:30:13	230026/230026	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/news/news2.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/news/news2.jpg	(from http://httpcoder.com/demo/html/foodking/view/news-list.html)
10:30:16	673707/673707	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/reservation.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/reservation.jpg	(from http://httpcoder.com/demo/html/foodking/view/index.html)
